Hungarian,English
nem,no
az,the
hogy,that
és,and
egy,one
van,have
ez,this
is,too
meg,and
de,but
csak,just
mi,what
ha,if
én,I
azt,it
vagy,obsession
volt,volt
igen,Yes
itt,here
kell,must
el,get away
már,already
ne,not
te,you
még,even
ki,Who
mit,what
jó,good
vagyok,I'm
ezt,this
most,now
tudom,I know
úgy,business
miért,why
mint,as
akkor,then
jól,well
lesz,become
nincs,there is no
nagyon,very
minden,all
mert,because
be,in
rendben,in order
le,juice
sem,nor
amit,what
olyan,such
ott,there
így,so
tudod,you know
fel,up
nekem,me
volna,would be
oké,okay
maga,itself
majd,then
valami,something
hát,well
lehet,may
hol,where
talán,maybe
mindig,always
köszönöm,Thanks
semmi,nothing
kis,small
aki,who
hé,hey
neki,him
gyerünk,Come on
neked,thee
uram,sir
amikor,when
szóval,so
hiszem,I believe
ide,here
valamit,something
ami,which
vissza,back
nagy,large
őket,them
tudja,know
elég,enough
fog,tooth
rá,on it
tényleg,indeed
lenne,would be
milyen,what kind of
egész,whole
mr,mr
igaz,true
ember,human
biztos,sure
vele,with him
vannak,are
vagyunk,we are
ma,today
sajnálom,I'm sorry
ilyen,such
gyere,come
mikor,when
két,two
nos,married
persze,of course
túl,over
sok,many
azért,therefore
történt,happened
na,So
értem,I understand
szia,Hi
valaki,someone
aztán,then
mondta,He told
kicsit,little
ahogy,as
engem,me
velem,with me
se,neither
pedig,however
mondtam,I said
arra,there
voltam,I was
új,new
nézd,look
mindent,everything
ugye,right
más,other
akarsz,you want
kérem,Please
semmit,nothing
benne,in it
erre,for this
kellett,needed
veled,with you
jobb,right
akarok,I want
ezért,therefore
soha,never
akarom,I want
menj,go
kéne,should
baj,charm
mindenki,everybody
akar,will
rám,on me
senki,nobody
több,more
szép,beautiful
nap,day
legyen,be
magát,herself
kérlek,please
őt,five
át,over
szerintem,I think
ezek,these
pár,par
istenem,my God
miatt,for
rossz,bad
emberek,people
várj,wait
első,first
minket,U.S
este,evening
mintha,as if
együtt,together
ja,yeah
téged,you
láttam,I saw
oda,there
tudok,I know
után,after
igazán,really
szerint,according to
mondja,says
innen,from here
egyszer,once
róla,about him
hogyan,how
dolog,thing
sosem,never
mondd,Tell me
ön,you
újra,again
tudtam,I knew it
másik,another
rajta,on
amíg,until
tessék,do
érted,Do you understand
hittem,I believed
kellene,should
megyek,counties
apa,father
figyelj,pay attention
lenni,to be
elnézést,apologize
akartam,I wanted
oh,oh
három,three
annyira,so much
isten,God
egyik,one
gondoltam,I thought
jobban,better
épp,right now
jön,come
inkább,rather
tud,can
magam,myself
alatt,under
saját,own
lett,became
megy,go
néhány,some
ezzel,with this
magad,yourself
mind,all
egyetlen,single
úr,Mr.
teljesen,fully
legjobb,best
anya,maternal
haver,buddy
ebben,in this
vége,end
hozzá,added
akarod,do you want
dr,dr
mire,by the time
tűnik,appear
mielőtt,before
tovább,next
egyedül,alone
honnan,from
voltál,you were
ők,OK
szó,weave
menjünk,let's go
csinálsz,you do
hadd,let me
mondani,to say
micsoda,what
holnap,tomorrow
akik,who
kösz,dirt
komolyan,seriously
szeretném,I would like to
idő,time
nekünk,us
nélkül,without
ahol,where
azok,those
előtt,before
áll,stand
nő,woman
mondom,I say
ben,in
akarja,desire
pontosan,exactly
voltak,they were
rád,on you
látom,I see
megvan,have
tudsz,you know
ennek,to do so
gyorsan,fast
látni,see
leszek,I will be
megint,over again
remélem,hope
tudjuk,we know
egyet,one
pont,point
tudni,to know
beszélni,speak
remek,excellent
igazi,real
jött,came
először,first
ti,you
tehát,so
fogja,hold
össze,together
utolsó,last
nehéz,hard
nekik,them
fogok,I will
kész,ready
azzal,with that
lány,girl
haza,home
erről,about this
ugyan,in
sokat,a lot
menni,to go
hagyd,let
örülök,I am glad